time 2025-05-12 12:38:44, INFO: method: POST, call: /item, ip: testclient
time 2025-05-12 12:38:44, INFO: method: GET, call: /item/1, ip: testclient
time 2025-05-12 12:38:44, INFO: method: GET, call: /home, ip: 127.0.0.1
time 2025-05-12 12:38:44, INFO: method: GET, call: /home, ip: testclient
time 2025-05-12 12:38:44, INFO: method: POST, call: /item, ip: testclient
time 2025-05-12 12:38:44, INFO: method: GET, call: /item/2, ip: testclient
time 2025-05-12 12:38:44, INFO: method: GET, call: /item/999, ip: testclient
time 2025-05-12 12:38:44, INFO: method: POST, call: /item, ip: testclient
time 2025-05-12 12:38:44, INFO: method: GET, call: /item/3, ip: testclient
time 2025-05-12 12:38:44, INFO: method: GET, call: /item/999, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/4, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: POST, call: /item, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/5, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/999, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: POST, call: /item, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: DELETE, call: /item/6, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/6, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: DELETE, call: /item/9999, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: POST, call: /item, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/1, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /home, ip: 127.0.0.1
time 2025-05-12 12:39:04, INFO: method: GET, call: /home, ip: testclient
time 2025-05-12 12:39:04, INFO: method: POST, call: /item, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/2, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/999, ip: testclient
time 2025-05-12 12:39:04, INFO: method: POST, call: /item, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/3, ip: testclient
time 2025-05-12 12:39:04, INFO: method: GET, call: /item/999, ip: testclient
